Plant,Material,Revenue,Quantity,Running,Subtotals,ABC
XDDD,629,66,3.3,660,33.33333333333333,A
XDDD,630,66,3.3,726,38.095238095238095,A
XDDD,631,66,3.3,792,42.857142857142854,A
XDDD,632,66,3.3,858,47.61904761904761,A
XDDD,633,66,3.3,924,52.38095238095239,A
XDDD,634,66,3.3,990,57.14285714285714,A
XDDD,625,33,1.65,1023,61.904761904761905,A
XDDD,626,33,1.65,1056,66.66666666666666,A
XDDD,627,33,1.65,1089,71.42857142857143,A
XDDD,628,33,1.65,1122,76.19047619047619,A
XDDD,641,12,0.6,1134,80.95238095238095,B
XDDD,642,12,0.6,1146,85.71428571428571,B
XDDD,643,12,0.6,1158,90.47619047619048,B
XDDD,644,12,0.6,1170,95.23809523809523,C
XDDD,645,12,0.6,1182,100.0,C
XEEE,655,65000,3250.0,65000,5.88235294117647,A
XEEE,657,65000,3250.0,130000,11.76470588235294,A
XEEE,658,65000,3250.0,195000,17.647058823529413,A
XEEE,663,9800,490.0,204800,23.52941176470588,A
XEEE,664,9800,490.0,214600,29.411764705882355,A
XEEE,665,9800,490.0,224400,35.294117647058826,A
XEEE,666,9800,490.0,234200,41.17647058823529,A
XEEE,659,500,25.0,234700,47.05882352941176,A
XEEE,660,500,25.0,235200,52.94117647058824,A
XEEE,661,500,25.0,235700,58.82352941176471,A
XEEE,662,500,25.0,236200,64.70588235294117,A
XEEE,667,400,20.0,236600,70.58823529411765,A
XEEE,668,400,20.0,237000,76.47058823529412,A
XEEE,669,400,20.0,237400,82.35294117647058,B
XEEE,652,200,10.0,237600,88.23529411764706,B
XEEE,653,200,10.0,237800,94.11764705882352,B
XEEE,654,200,10.0,238000,100.0,C
